Age,Education,Education Yrs,Marital Status,Employer,Occupation,Relationship Status,Sex,Capital Gain,Capital Loss,Hours per Week,Native Country,Salary
39, Bachelors,13, Never-married, State-gov, Adm-clerical, Not-in-family, Male,2174,0,40, United-States,77516
50, Bachelors,13, Married-civ-spouse, Self-emp-not-inc, Exec-managerial, Husband, Male,0,0,13, United-States,83311
38, HS-grad,9, Divorced, Private, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,215646
53, 11th,7, Married-civ-spouse, Private, Handlers-cleaners, Husband, Male,0,0,40, United-States,234721
28, Bachelors,13, Married-civ-spouse, Private, Prof-specialty, Wife, Female,0,0,40, Cuba,338409
37, Masters,14, Married-civ-spouse, Private, Exec-managerial, Wife, Female,0,0,40, United-States,284582
49, 9th,5, Married-spouse-absent, Private, Other-service, Not-in-family, Female,0,0,16, Jamaica,160187
52, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Exec-managerial, Husband, Male,0,0,45, United-States,209642
31, Masters,14, Never-married, Private, Prof-specialty, Not-in-family, Female,14084,0,50, United-States,45781
42, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Husband, Male,5178,0,40, United-States,159449
37, Some-college,10, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,80, United-States,280464
30, Bachelors,13, Married-civ-spouse, State-gov, Prof-specialty, Husband, Male,0,0,40, India,141297
23, Bachelors,13, Never-married, Private, Adm-clerical, Own-child, Female,0,0,30, United-States,122272
32, Assoc-acdm,12, Never-married, Private, Sales, Not-in-family, Male,0,0,50, United-States,205019
40, Assoc-voc,11, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, ?,121772
34, 7th-8th,4, Married-civ-spouse, Private, Transport-moving, Husband, Male,0,0,45, Mexico,245487
25, HS-grad,9, Never-married, Self-emp-not-inc, Farming-fishing, Own-child, Male,0,0,35, United-States,176756
32, HS-grad,9, Never-married, Private, Machine-op-inspct, Unmarried, Male,0,0,40, United-States,186824
38, 11th,7, Married-civ-spouse, Private, Sales, Husband, Male,0,0,50, United-States,28887
43, Masters,14, Divorced, Self-emp-not-inc, Exec-managerial, Unmarried, Female,0,0,45, United-States,292175
40, Doctorate,16, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,60, United-States,193524
54, HS-grad,9, Separated, Private, Other-service, Unmarried, Female,0,0,20, United-States,302146
35, 9th,5, Married-civ-spouse, Federal-gov, Farming-fishing, Husband, Male,0,0,40, United-States,76845
43, 11th,7, Married-civ-spouse, Private, Transport-moving, Husband, Male,0,2042,40, United-States,117037
59, HS-grad,9, Divorced, Private, Tech-support, Unmarried, Female,0,0,40, United-States,109015
56, Bachelors,13, Married-civ-spouse, Local-gov, Tech-support, Husband, Male,0,0,40, United-States,216851
19, HS-grad,9, Never-married, Private, Craft-repair, Own-child, Male,0,0,40, United-States,168294
54, Some-college,10, Married-civ-spouse, ?, ?, Husband, Male,0,0,60, South,180211
39, HS-grad,9, Divorced, Private, Exec-managerial, Not-in-family, Male,0,0,80, United-States,367260
49, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,193366
23, Assoc-acdm,12, Never-married, Local-gov, Protective-serv, Not-in-family, Male,0,0,52, United-States,190709
20, Some-college,10, Never-married, Private, Sales, Own-child, Male,0,0,44, United-States,266015
45, Bachelors,13, Divorced, Private, Exec-managerial, Own-child, Male,0,1408,40, United-States,386940
30, Some-college,10, Married-civ-spouse, Federal-gov, Adm-clerical, Own-child, Male,0,0,40, United-States,59951
22, Some-college,10, Married-civ-spouse, State-gov, Other-service, Husband, Male,0,0,15, United-States,311512
48, 11th,7, Never-married, Private, Machine-op-inspct, Unmarried, Male,0,0,40, Puerto-Rico,242406
21, Some-college,10, Never-married, Private, Machine-op-inspct, Own-child, Male,0,0,40, United-States,197200
19, HS-grad,9, Married-AF-spouse, Private, Adm-clerical, Wife, Female,0,0,25, United-States,544091
31, Some-college,10, Married-civ-spouse, Private, Sales, Husband, Male,0,0,38, ?,84154
48, Assoc-acdm,12, Married-civ-spouse, Self-emp-not-inc, Prof-specialty, Husband, Male,0,0,40, United-States,265477
31, 9th,5, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,0,0,43, United-States,507875
53, Bachelors,13, Married-civ-spouse, Self-emp-not-inc, Prof-specialty, Husband, Male,0,0,40, United-States,88506
24, Bachelors,13, Married-civ-spouse, Private, Tech-support, Husband, Male,0,0,50, United-States,172987
